Negara,Tahun,RQ,GE,Size,FDI,TO
Indonesia,2003,-0.866097331047058,-0.596454501152039,223080121,-0.254256320381005,53.6164937473016
Indonesia,2004,-0.735824227333069,-0.490505009889603,225938595,0.738243979887563,59.761294836691
Indonesia,2005,-0.646948039531708,-0.502644717693329,228805144,2.91611483313067,63.9879358688635
Indonesia,2006,-0.396195590496063,-0.348611891269684,231797427,1.34794264068931,56.6571268148867
Indonesia,2007,-0.388591676950455,-0.307463616132736,234858289,1.6030105718879,54.8292499782075
Indonesia,2008,-0.346988946199417,-0.262719124555588,237936543,1.82632902404593,58.5613996314603
Indonesia,2009,-0.314694702625275,-0.330059111118317,240981299,0.90391941964721,45.5121213683604
Indonesia,2010,-0.380860596895218,-0.266941010951996,244016173,2.02517914569356,46.7012738753565
Indonesia,2011,-0.310188621282578,-0.321591943502426,247099697,2.30298429381592,50.1800131848331
Indonesia,2012,-0.221852913498878,-0.330479681491852,250222695,2.30978031853074,49.5828982992627
Indonesia,2013,-0.123265877366066,-0.24391496181488,253275918,2.55135633401058,48.6373726756821
Indonesia,2014,-0.00835875049233437,-0.0660421922802925,256229761,2.81997260412102,48.0801755854063
Indonesia,2015,-0.158227473497391,-0.326080799102783,259091970,2.29761639380441,41.9376402414825
Indonesia,2016,-0.0313757993280888,-0.0512502305209637,261850182,0.487372471368879,37.4213418024754
Indonesia,2017,0.0279946066439152,-0.0200420916080475,264498852,2.01948919812582,39.3554970708712
Indonesia,2018,-0.0218164678663015,0.141279011964798,267066843,1.81428979349441,43.0743089548747
Indonesia,2019,0.0289513897150755,0.138761013746262,269582878,2.23336204282241,37.6277775362938
Indonesia,2020,0.216156706213951,0.317363321781158,271857970,1.81058402027127,32.9721754003528
Indonesia,2021,0.287561029195786,0.347363114356995,273753191,1.78785563145541,40.2047582749671
Indonesia,2022,0.205959960818291,0.436999291181564,275501339,1.87267638098474,45.4658986816744
Vietnam,2003,-0.637721121311188,-0.402854233980179,81475825,3.66601229989583,124.327954439125
Vietnam,2004,-0.556896567344666,-0.47920498251915,82311227,3.54408107288199,133.016497868747
Vietnam,2005,-0.601215302944183,-0.228448659181595,83142095,3.39040363930871,130.714846045026
Vietnam,2006,-0.625979781150818,-0.24698968231678,83951800,3.61600090432522,138.313621869598
Vietnam,2007,-0.57259863615036,-0.225955650210381,84762269,8.65471771434805,154.605383996554
Vietnam,2008,-0.630675971508026,-0.199574172496796,85597241,9.6630390545572,154.317479627758
Vietnam,2009,-0.633366286754608,-0.245095103979111,86482923,7.16881988884277,134.706317721758
Vietnam,2010,-0.631919384002686,-0.242955058813095,87411012,5.4347392933443,113.977688000295
Vietnam,2011,-0.609958648681641,-0.209270849823952,88349117,4.30487434902161,125.260578298881
Vietnam,2012,-0.676629722118378,-0.248135596513748,89301326,4.27832287681174,123.22411674148
Vietnam,2013,-0.65251749753952,-0.244422689080238,90267739,4.16454517277325,130.846355271514
Vietnam,2014,-0.602058231830597,-0.0471440590918064,91235504,3.94086189051961,135.410520598482
Vietnam,2015,-0.505210995674133,0.0625733584165573,92191398,4.93190773329022,144.914227878445
Vietnam,2016,-0.502611756324768,-0.0188320241868496,93126529,4.90089302916746,145.409507144464
Vietnam,2017,-0.433582544326782,-0.0340589806437492,94033048,5.01148721749681,160.980083499995
Vietnam,2018,-0.372491270303726,-0.0117323715239763,94914330,4.99828319622328,164.663936753937
Vietnam,2019,-0.375260800123215,0.0279832296073437,95776716,4.821074861051,164.704214531318
Vietnam,2020,-0.236916333436966,0.193606421351433,96648685,4.55836196782424,163.245862776399
Vietnam,2021,-0.404661357402802,0.243394657969475,97468029,4.27314566190187,186.675832800038
